%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1555652361899377664,33,1555652361899377664,map,-7.43316050569e-05,3.7592920256e-05,-0.000651027969092,0.025439033931,-0.685118693735,-0.0004085709036,0.72798699447
1555652361939417600,34,1555652361939417600,map,-5.24603688729e-05,3.68613742931e-05,-0.000665669581486,0.0254455545687,-0.68512101272,-0.000398542592356,0.727984589704
1555652361979387648,35,1555652361979387648,map,-4.78169244107e-05,1.25053690841e-06,-0.000609725594326,0.0253927617698,-0.685142367734,-0.000364960051005,0.727966352512
1555652362019357696,36,1555652362019357696,map,3.21278355728e-05,7.34000729261e-05,-0.00057433121315,0.0254452635693,-0.685130824693,-0.000395584436612,0.727975367118
1555652362059397632,37,1555652362059397632,map,8.99066194639e-05,0.000125286850777,-0.000449236146907,0.0254673017768,-0.685136552092,-0.000404907309342,0.727969200982
1555652362099367680,38,1555652362099367680,map,9.43888818876e-05,6.6896802531e-05,-0.000465915505319,0.0254660892201,-0.685139932808,-0.000410296543658,0.727966058569
1555652362139337472,39,1555652362139337472,map,7.46987868572e-05,0.000102169005424,-0.00026998449848,0.0254671623224,-0.685163569683,-0.000403507914281,0.727943777777
1555652362179377664,40,1555652362179377664,map,-1.61514908632e-06,0.000131087510007,-0.000418590811591,0.025428849533,-0.685164413024,-0.000366890029912,0.727944342741
1555652362219347712,41,1555652362219347712,map,2.91132863901e-05,0.000125988385579,-0.000327497801844,0.0254633062143,-0.685159187799,-0.000404120338591,0.727948036674
1555652362259317760,42,1555652362259317760,map,3.1381192374e-05,0.000131651203957,-0.000388370610157,0.0254728086412,-0.685156287552,-0.000400946642436,0.727950435737
1555652362299287552,43,1555652362299287552,map,2.24886914235e-05,5.76216454965e-05,-0.000224681551918,0.0254643005136,-0.685176324117,-0.000425817663359,0.727931860099
1555652362339327488,44,1555652362339327488,map,-3.87381910547e-06,8.48465022441e-05,-0.00029207072927,0.0254584963054,-0.685176246376,-0.000412067462787,0.727932144206
1555652362379297792,45,1555652362379297792,map,-6.15046693216e-05,8.46354912063e-05,-0.000373020264729,0.0254216854722,-0.685180642145,-0.000368548293963,0.727929316424
1555652362419267584,46,1555652362419267584,map,-5.2519449209e-05,9.30988171265e-05,-0.000351874774462,0.025456753126,-0.685168910485,-0.000407718389409,0.727939112558
1555652362459307776,47,1555652362459307776,map,-2.16166685645e-05,6.90266934688e-05,-0.000508650782811,0.0254644923298,-0.685147836998,-0.000426077573485,0.727958666096
1555652362499277568,48,1555652362499277568,map,-6.30830987442e-06,2.35201393713e-05,-0.000626871054726,0.0254715875785,-0.685134630377,-0.000435077046905,0.727970842268
1555652362539247616,49,1555652362539247616,map,-7.8645966422e-05,-9.79733197796e-08,-0.000556800018489,0.0254506875559,-0.685161014772,-0.000429852631815,0.727946743633
1555652362579287552,50,1555652362579287552,map,-0.000145948590995,-4.78757194467e-05,-0.000705112172603,0.025407685332,-0.685153544213,-0.000414940278165,0.727955285854
1555652362619257600,51,1555652362619257600,map,-0.000130190070836,3.34769948619e-05,-0.000801209746566,0.0254505058659,-0.685128419217,-0.000432145263897,0.727977426973
1555652362659227648,52,1555652362659227648,map,-0.00016525538962,-1.24691497565e-05,-0.000819515717574,0.025461959453,-0.68512757637,-0.000452319083603,0.727977807441
1555652362699197440,53,1555652362699197440,map,-0.000196186938501,-1.22373199087e-05,-0.000811414231677,0.0254539002424,-0.685127318784,-0.000445453935448,0.727978335934
1555652362739237632,54,1555652362739237632,map,-0.000237711508207,1.75033076101e-05,-0.000769682001096,0.0254561009944,-0.685134361529,-0.000435430152103,0.727971636793
1555652362779207680,55,1555652362779207680,map,-0.000290163799265,-3.30763608989e-05,-0.000842009286914,0.0254077578608,-0.68514261943,-0.000430695342478,0.727965556454
1555652362819177728,56,1555652362819177728,map,-0.00022184946776,2.48988011433e-05,-0.000855594386414,0.0254551281482,-0.685125860814,-0.00044989885001,0.727979662412
1555652362859217664,57,1555652362859217664,map,-0.00020193062381,5.25492830352e-05,-0.000878195168445,0.0254813372402,-0.685124944437,-0.000456358127637,0.727979603904
1555652362899187456,58,1555652362899187456,map,-0.000163049740221,3.61993816512e-05,-0.00093749791183,0.025484650347,-0.685119345869,-0.000465424714325,0.72798475114
1555652362939157760,59,1555652362939157760,map,-0.00022218852425,-5.95798266741e-06,-0.000855983311976,0.0254603843599,-0.685142092078,-0.000456622597587,0.727964198286
1555652362979197440,60,1555652362979197440,map,-0.000271062897901,3.01991342007e-06,-0.000835026191988,0.025430354906,-0.685152775308,-0.000425779224649,0.727955211706
1555652363019167744,61,1555652363019167744,map,-0.000201865359915,2.91172914371e-06,-0.000901671286708,0.025472985489,-0.685120763063,-0.000453116062865,0.727983833417
1555652363059137536,62,1555652363059137536,map,-0.000241309462531,8.31998791872e-06,-0.000855099104235,0.0254784173236,-0.68514429566,-0.000444425752909,0.727961500947
1555652363099177472,63,1555652363099177472,map,-0.00025718400888,-6.73930005604e-05,-0.000878287594583,0.025478797884,-0.685109325741,-0.000459724290685,0.727994389604
1555652363139147520,64,1555652363139147520,map,-0.000358074516141,-8.47418371353e-05,-0.000912886493457,0.0254342593267,-0.685141483985,-0.000447755706066,0.727965689364
1555652363179117568,65,1555652363179117568,map,-0.000486399920243,-0.000132057218127,-0.00100043703827,0.0253958264606,-0.685129786837,-0.0004317975548,0.727978049626
1555652363219087616,66,1555652363219087616,map,-0.00051984426265,-6.26621984688e-05,-0.00100745745352,0.0254466648962,-0.685116585636,-0.000460245955776,0.727988680891
1555652363259127552,67,1555652363259127552,map,-0.000547085265665,-0.000131649643251,-0.00109670200643,0.0254420077388,-0.685108994775,-0.000492774727655,0.727995966125
1555652363299097600,68,1555652363299097600,map,-0.000547433612412,-9.77094418302e-05,-0.00111901549756,0.0254543141919,-0.685096275818,-0.00049063915305,0.728007506845
