%time,field.header.seq,field.header.stamp,field.header.frame_id,field.head,field.timeUTC,field.latitude,field.northOrSouth,field.longitude,field.eastOrWest,field.GPSstatus,field.satelliteNum,field.HDOP,field.altitude,field.altitudeUnit,field.geiod,field.geiodUnit,field.rtkAge,field.rtkID
1571901767091923609,18,1571901767091775417,/GNSS,$GPGGA,1367.0,31.1627275,N,121.307369833,E,2,12,0.86,4.4,M,9.5,M,1,.0
1571901768091913947,19,1571901768091808796,/GNSS,$GPGGA,1368.0,31.1627275,N,121.307369667,E,2,12,0.76,4.4,M,9.5,M,1,.0
1571901769111931862,20,1571901769111790895,/GNSS,$GPGGA,1369.0,31.1627256667,N,121.307369167,E,2,12,0.76,4.4,M,9.5,M,1,.0
1571901770092003467,21,1571901770091845512,/GNSS,$GPGGA,1370.0,31.1627213333,N,121.307370667,E,2,12,0.77,4.5,M,9.5,M,1,.0
1571901771091882119,22,1571901771091772079,/GNSS,$GPGGA,1371.0,31.1627185,N,121.307375,E,2,12,0.77,4.5,M,9.5,M,1,.0
1571901772091884845,23,1571901772091780186,/GNSS,$GPGGA,1372.0,31.162718,N,121.307381333,E,2,12,0.8,4.6,M,9.5,M,1,.0
1571901773091909338,24,1571901773091790438,/GNSS,$GPGGA,1373.0,31.16272,N,121.307388167,E,2,12,0.76,4.6,M,9.5,M,1,.0
1571901774091885238,25,1571901774091776848,/GNSS,$GPGGA,1374.0,31.1627251667,N,121.307393667,E,2,12,0.77,4.6,M,9.5,M,1,.0
1571901775111950750,26,1571901775111797333,/GNSS,$GPGGA,1375.0,31.1627321667,N,121.307397833,E,2,12,0.73,4.4,M,9.5,M,1,.0
1571901776091942047,27,1571901776091804743,/GNSS,$GPGGA,1376.0,31.1627388333,N,121.307400167,E,2,12,0.75,4.4,M,9.5,M,1,.0
1571901777091982676,28,1571901777091807365,/GNSS,$GPGGA,1377.0,31.1627456667,N,121.307400167,E,2,12,0.8,4.4,M,9.5,M,1,.0
1571901779092045526,29,1571901779091864586,/GNSS,$GPGGA,1379.0,31.1627578333,N,121.3073935,E,2,12,0.8,4.5,M,9.5,M,1,.0
1571901782091928871,30,1571901782091817856,/GNSS,$GPGGA,1382.0,31.1627736667,N,121.307371833,E,5,12,0.77,4.6,M,9.5,M,1,.0
1571901798091974162,31,1571901798091779232,/GNSS,$GPGGA,1398.0,31.1627676667,N,121.307213833,E,2,12,0.81,4.9,M,9.5,M,1,.0
1571901800092022194,32,1571901800091824055,/GNSS,$GPGGA,1400.0,31.1627623333,N,121.307194833,E,2,12,0.82,5.0,M,9.5,M,1,.0
1571901801091988338,33,1571901801091850042,/GNSS,$GPGGA,1401.0,31.1627596667,N,121.307185167,E,2,12,0.78,5.1,M,9.5,M,1,.0
1571901803091863324,34,1571901803091768980,/GNSS,$GPGGA,1403.0,31.1627543333,N,121.307166333,E,2,12,0.82,5.2,M,9.5,M,1,.0
1571901808091957722,35,1571901808091771364,/GNSS,$GPGGA,1408.0,31.162741,N,121.3071175,E,2,12,0.94,5.4,M,9.5,M,1,.0
1571901811091960253,36,1571901811091841459,/GNSS,$GPGGA,1411.0,31.1627338333,N,121.307087667,E,5,12,0.99,5.2,M,9.5,M,1,.0
1571901812091911988,37,1571901812091815710,/GNSS,$GPGGA,1412.0,31.1627313333,N,121.307077833,E,2,12,1.01,5.3,M,9.5,M,1,.0
1571901813091952300,38,1571901813091809988,/GNSS,$GPGGA,1413.0,31.162729,N,121.307068,E,2,12,1.03,5.3,M,9.5,M,1,.0
1571901816091899770,39,1571901816091824055,/GNSS,$GPGGA,1416.0,31.1627241667,N,121.307039167,E,2,12,1.19,5.4,M,9.5,M,1,.0
1571901817091925754,40,1571901817091824293,/GNSS,$GPGGA,1417.0,31.1627236667,N,121.307029167,E,2,12,1.03,5.4,M,9.5,M,1,.0
1571901820091894885,41,1571901820091803789,/GNSS,$GPGGA,1420.0,31.1627223333,N,121.3069995,E,2,12,1.29,5.4,M,9.5,M,1,.0
1571901821091892091,42,1571901821091802120,/GNSS,$GPGGA,1421.0,31.162723,N,121.306991833,E,2,12,0.96,5.5,M,9.5,M,1,.0
1571901823091893625,43,1571901823091817379,/GNSS,$GPGGA,1423.0,31.1627276667,N,121.306975333,E,2,12,0.81,5.4,M,9.5,M,1,.0
1571901824091935447,44,1571901824091801882,/GNSS,$GPGGA,1424.0,31.1627316667,N,121.306967167,E,2,12,0.81,5.4,M,9.5,M,1,.0
1571901825091946073,45,1571901825091818810,/GNSS,$GPGGA,1425.0,31.1627361667,N,121.306958833,E,2,12,0.81,5.3,M,9.5,M,1,.0
1571901826091906889,46,1571901826091804028,/GNSS,$GPGGA,1426.0,31.162741,N,121.306951167,E,2,12,0.83,5.3,M,9.5,M,1,.0
1571901827091995665,47,1571901827091823816,/GNSS,$GPGGA,1427.0,31.1627455,N,121.306944333,E,2,12,0.83,5.3,M,9.5,M,1,.0
1571901828091967817,48,1571901828091789722,/GNSS,$GPGGA,1428.0,31.1627508333,N,121.306938833,E,2,12,0.8,5.3,M,9.5,M,1,.0
1571901829092004700,49,1571901829091811657,/GNSS,$GPGGA,1429.0,31.1627573333,N,121.306933833,E,2,12,0.87,5.3,M,9.5,M,1,.0
1571901830091997358,50,1571901830091863871,/GNSS,$GPGGA,1430.0,31.1627645,N,121.306929,E,2,12,0.87,5.2,M,9.5,M,1,.0
1571901831091973304,51,1571901831091860771,/GNSS,$GPGGA,1431.0,31.1627723333,N,121.306924167,E,2,12,0.99,5.3,M,9.5,M,1,.0
1571901832091900119,52,1571901832091807604,/GNSS,$GPGGA,1432.0,31.1627801667,N,121.306919167,E,2,12,0.95,5.3,M,9.5,M,1,.0
1571901833092038684,53,1571901833091853380,/GNSS,$GPGGA,1433.0,31.1627876667,N,121.3069145,E,2,12,1.0,5.3,M,9.5,M,1,.0
1571901834091993505,54,1571901834091837406,/GNSS,$GPGGA,1434.0,31.1627956667,N,121.306909833,E,2,12,1.27,5.3,M,9.5,M,1,.0
1571901835091899453,55,1571901835091791868,/GNSS,$GPGGA,1435.0,31.1628033333,N,121.306904833,E,2,12,1.07,5.3,M,9.5,M,1,.0
1571901836091998106,56,1571901836091827631,/GNSS,$GPGGA,1436.0,31.1628096667,N,121.306899333,E,2,12,0.99,5.3,M,9.5,M,1,.0
1571901837091938716,57,1571901837091814995,/GNSS,$GPGGA,1437.0,31.1628163333,N,121.306893667,E,2,12,0.95,5.3,M,9.5,M,1,.0
1571901838091893975,58,1571901838091791391,/GNSS,$GPGGA,1438.0,31.1628233333,N,121.306887333,E,2,12,1.02,5.3,M,9.5,M,1,.0
1571901839071895700,59,1571901839071795702,/GNSS,$GPGGA,1439.0,31.1628301667,N,121.306881,E,2,12,1.13,5.2,M,9.5,M,1,.0
1571901840092023259,60,1571901840091827869,/GNSS,$GPGGA,1440.0,31.162837,N,121.306875,E,2,12,0.84,5.1,M,9.5,M,1,.0
1571901841091965451,61,1571901841091805220,/GNSS,$GPGGA,1441.0,31.162844,N,121.306868833,E,2,12,0.78,5.0,M,9.5,M,1,.0
1571901842091970266,62,1571901842091805458,/GNSS,$GPGGA,1442.0,31.1628508333,N,121.306862667,E,2,12,0.78,5.1,M,9.5,M,1,.0
1571901843091938386,63,1571901843091780186,/GNSS,$GPGGA,1443.0,31.162857,N,121.306855167,E,5,12,0.78,5.2,M,9.5,M,1,.0
1571901844091965094,64,1571901844091796398,/GNSS,$GPGGA,1444.0,31.1628635,N,121.306847833,E,5,12,0.85,5.3,M,9.5,M,1,.0
1571901845071938084,65,1571901845071797132,/GNSS,$GPGGA,1445.0,31.1628701667,N,121.306841167,E,5,12,0.85,5.3,M,9.5,M,1,.0
1571901846071933678,66,1571901846071799994,/GNSS,$GPGGA,1446.0,31.1628766667,N,121.3068345,E,2,12,0.9,5.3,M,9.5,M,1,.0
1571901847091927374,67,1571901847091804981,/GNSS,$GPGGA,1447.0,31.1628833333,N,121.306827833,E,2,12,0.97,5.2,M,9.5,M,1,.0
1571901848071965140,68,1571901848071793556,/GNSS,$GPGGA,1448.0,31.1628898333,N,121.306821667,E,2,12,0.97,5.2,M,9.5,M,1,.0
