time,u,v,depth
1583921940.8659999371,423,214,2.7870655059814453125
1583921940.9790000916,423,214,2.6444203853607177734
1583921941.0980000496,423,214,2.7527983188629150391
1583921941.2190001011,423,214,2.6034216880798339844
1583921941.3380000591,423,214,2.6237609386444091797
1583921941.4579999447,423,214,2.9203600883483886719
1583921941.5780000687,423,214,2.7304179668426513672
1583921941.6979999542,423,214,2.6444203853607177734
1583921941.8169999123,423,214,2.7986781597137451172
1583921941.9370000362,423,214,2.7304179668426513672
1583921942.0569999218,423,214,2.8704392910003662109
1583921942.1779999733,423,214,2.7641267776489257812
1583921942.2980000973,423,214,2.7527983188629150391
1583921942.4170000553,423,214,2.7986781597137451172
1583921942.5369999409,423,214,2.8341047763824462891
1583921942.6579999924,423,214,2.7986781597137451172
1583921942.7780001163,423,214,2.5933699607849121094
1583921942.8970000744,423,214,2.7527983188629150391
1583921943.0169999599,423,214,2.7870655059814453125
1583921943.1370000839,423,214,2.7641267776489257812
1583921943.2569999695,423,214,2.6444203853607177734
1583921943.3770000935,423,214,2.7986781597137451172
1583921943.4979999065,423,214,2.6654076576232910156
1583921943.6180000305,423,214,2.7527983188629150391
1583921943.7409999371,423,214,2.697521209716796875
1583921943.8589999676,423,214,2.7641267776489257812
1583921943.9779999256,423,214,2.6760270595550537109
1583921944.0980000496,423,214,2.6135518550872802734
1583921944.2190001011,423,214,2.7304179668426513672
1583921944.3369998932,423,214,2.6867311000823974609
1583921944.4579999447,423,214,2.7755489349365234375
