time,u,v,depth
1583921732.496999979,406,239,5.1695199012756347656
1583921732.617000103,406,239,5.1297545433044433594
1583921732.7369999886,406,239,5.1297545433044433594
1583921732.8570001125,406,239,5.0905957221984863281
1583921732.9879999161,406,239,5.0905957221984863281
1583921733.1370000839,406,239,4.976627349853515625
1583921733.2160000801,406,239,5.1695199012756347656
1583921733.3369998932,406,239,5.1695199012756347656
1583921733.4560000896,406,239,4.9397630691528320312
1583921733.5769999027,406,239,5.1695199012756347656
1583921733.6970000267,406,239,5.2099065780639648438
1583921733.8180000782,406,239,5.2099065780639648438
1583921733.9760000706,406,239,5.1297545433044433594
1583921734.0569999218,406,239,5.2926034927368164062
1583921734.1770000458,406,239,5.2099065780639648438
1583921734.2969999313,406,239,5.0905957221984863281
1583921734.4170000553,406,239,5.1297545433044433594
1583921734.5499999523,406,239,5.0140452384948730469
1583921734.6549999714,406,239,5.2099065780639648438
1583921734.7760000229,406,239,5.2099065780639648438
1583921734.8970000744,406,239,5.0905957221984863281
1583921735.0160000324,406,239,5.0905957221984863281
1583921735.135999918,406,239,5.0905957221984863281
1583921735.256000042,406,239,4.9397630691528320312
1583921735.3759999275,406,239,5.2099065780639648438
1583921735.4960000515,406,239,5.0520305633544921875
1583921735.617000103,406,239,4.8323774337768554688
1583921735.736000061,406,239,5.2926034927368164062
1583921735.8559999466,406,239,5.0905957221984863281
1583921735.9769999981,406,239,5.0905957221984863281
1583921736.0959999561,406,239,5.1695199012756347656
1583921736.2160000801,406,239,5.0520305633544921875
1583921736.3359999657,406,239,5.6997270584106445312
1583921736.4570000172,406,239,5.0140452384948730469
