point,loop_1,loop_2,loop_3,loop_4,loop_5,loop_1_yaw,loop_2_yaw,loop_3_yaw,loop_4_yaw,loop_5_yaw
1,,0.3337514447869206,0.4872081906289941,0.3849135858465773,0.153524384718636,,0.0441534948650002,0.06047136321445867,0.06999409667208313,-0.08014072053169574
2,0.4311961827634036,0.5497201860778326,0.5836588006312351,0.5327395072648243,0.5464137792120066,0.20794519300966674,-0.09216272618570807,-0.09971747925204144,-0.0999965603944586,-0.09657448562749993
3,0.15143872286802207,0.15406441355392952,0.1611224929245058,0.08538249773484068,0.07770177049999245,-0.016681200034583288,-0.060609579625583325,0.042486248233458264,0.0539978379844166,0.02683975290899998
4,0.22044732861710414,0.3151664453881614,0.26159552179406065,0.31231453924372704,0.30584100002596526,-0.06291895902895661,-0.08851759024208694,-0.12101426877611987,-0.0905301971721112,-0.08956717638658329
5,0.2549418436012116,0.3765472388362119,0.2872095438804391,0.26290655538443464,0.3245846210623557,-0.11809349143995827,-0.13503910747400005,-0.1077782244775003,-0.13606942365337527,-0.1359289059626958
6,0.40939796230057446,0.4403795197124989,0.4698630539296909,0.4866256399924212,0.5049174789947614,-0.13179103230666733,-0.12053893385500025,-0.11894952914695844,-0.02058943666645829,-0.14228806105329195
7,0.6896733723592855,0.6161334680033036,0.7500909696172191,0.7674985009023376,0.7813093965428419,-0.10731116156427234,-0.08764821481221663,-0.11690302146600028,-0.11433190142766625,-0.10070017843309964
8,0.33198136191329286,0.27556084091681243,0.33948904194101936,0.5009807933976582,0.5537145176165519,-0.15925656322069998,0.033651583366666626,-0.0017582835134167807,-0.1187712397258261,-0.1185759567479584
9,0.4211929935895079,0.41155200612561876,0.467848633877586,0.3002074815133844,,0.050888659756625376,0.03297168915741655,0.07592399556325025,0.04083216750479157,
