time,status
1545117522.3819523,3
1545117522.6409202,3
1545117522.8452508,3
1545117523.467595,3
1545117523.2493603,3
1545117523.4522107,3
1545117523.654342,3
1545117523.8573616,3
1545117524.5964067,3
1545117524.2678065,3
1545117524.4725232,3
1545117524.6747305,3
1545117524.8769972,3
1545117525.793097,3
1545117525.281723,3
1545117525.4840012,3
1545117525.6880493,3
1545117525.895959,3
1545117526.1004248,3
1545117526.3025947,3
1545117526.5053346,3
1545117526.7077365,3
1545117526.9117796,3
1545117527.1154466,3
1545117527.3181381,3
1545117527.520152,3
1545117527.722824,3
1545117527.925338,3
1545117528.1285336,3
1545117528.331139,3
1545117528.533824,3
1545117528.7362812,3
1545117529.1429358,3
1545117529.3447464,3
1545117529.5476286,3
1545117559.5498548,4
1545117614.1777625,4
1545117643.7926633,3
1545117647.2317274,3
1545117649.2341316,3
1545117651.2422075,3
1545117653.2476523,3
1545117667.5198867,3
1545117667.2837973,3
1545117667.4856398,3
1545117667.689424,3
1545117667.8926053,3
1545117668.9524138,3
1545117668.3001645,3
1545117668.505348,3
1545117668.7086031,3
1545117668.9123619,3
1545117669.115062,3
1545117721.9172943,3
1545117722.1273394,3
1545117722.3292742,3
1545117722.531441,3
1545117722.7337952,3
1545117722.9367576,3
1545117723.1386614,3
1545117723.3412006,3
1545117723.5437539,3
1545117723.7459762,3
1545117723.94899,3
1545117724.1519806,3
1545117735.7539,3
1545117735.9802783,3
1545117736.1827106,3
1545117736.3849618,3
1545117736.5875156,3
1545117736.792383,3
1545117736.994295,3
1545117737.1978848,3
1545117737.3998063,3
1545117737.6041286,3
1545117737.8073123,3
1545117738.9889143,3
1545117738.21211,3
1545117738.4141529,3
1545117738.6167152,3
1545117738.8185933,3
1545117739.210274,3
1545117739.2232177,3
1545117739.425695,3
1545117739.6283748,3
1545117739.8304746,3
1545117740.3292832,3
1545117740.2352054,3
1545117740.4388797,3
1545117740.6425903,3
1545117740.8446424,3
1545117741.4651082,3
1545117741.2486227,3
1545117741.4507716,3
1545117741.6534727,3
1545117741.8556027,3
1545117742.582059,3
1545117742.260493,3
1545117742.4693518,3
1545117742.6722398,3
1545117742.8746386,3
1545117759.6768417,3
1545117759.907737,3
1545117760.110603,3
1545117760.3144407,3
1545117760.5177956,3
1545117760.7195497,3
1545117760.9218187,3
1545117761.1239555,3
1545117761.3265843,3
1545117761.530834,3
1545117761.732424,3
1545117761.9350905,3
1545117812.5380414,4
1545117820.1458395,4
1545117827.7688847,4
1545117835.3869398,4
1545117843.8308685,4
1545117850.6281717,4
1545117858.2422426,4
1545117865.8599145,4
1545117913.8737268,3
1545117914.7578735,3
1545117914.2797787,3
1545117961.4824169,3
1545117961.7002022,3
1545117961.90168,3
1545117962.1039777,3
1545117962.3059123,3
1545117986.3089583,4
1545117993.9219995,4
1545118003.341976,3
1545118003.5717628,3
1545118003.7768028,3
1545118003.9787471,3
1545118004.1810224,3
1545118004.3826938,3
1545118004.584859,3
1545118004.7864914,3
1545118004.9923594,3
1545118005.193944,3
1545118005.3957634,3
1545118005.598148,3
1545118005.80412,3
1545118006.9233305,3
1545118006.2115574,3
1545118006.4138324,3
1545118006.6158469,3
1545118016.2199838,3
1545118016.4399562,3
1545118016.6435537,3
1545118016.8460274,3
1545118017.4838717,3
1545118017.2507048,3
1545118017.4525678,3
1545118017.6549947,3
1545118017.8574002,3
1545118018.5935378,3
1545118018.2613976,3
1545118018.4636714,3
1545118018.665917,3
1545118018.8689942,3
1545118019.7125652,3
1545118019.2738018,3
1545118019.4770353,3
1545118019.6802208,3
1545118019.8822699,3
1545118020.8466737,3
1545118020.2878458,3
1545118020.4894838,3
1545118020.6925094,3
1545118020.894377,3
1545118021.9695852,3
1545118021.299312,3
1545118021.501442,3
1545118021.7042172,3
1545118021.9076293,3
1545118022.110419,3
1545118022.3128016,3
1545118022.5155158,3
1545118022.718176,3
1545118022.920291,3
1545118023.124565,3
1545118071.1285207,3
1545118074.9341297,3
1545118078.5426064,3
1545118096.15146,3
1545118099.388659,3
1545118101.4017212,3
1545118103.4081185,3
1545118116.812663,3
1545118117.3707442,3
1545118117.2409248,3
1545118117.4437277,3
1545118117.6459088,3
1545118117.8511977,3
1545118118.5312421,3
1545118118.255479,3
1545118118.4575837,3
1545118118.6604857,3
1545118118.8628378,3
1545118154.464926,3
1545118154.6957932,3
1545118154.9011016,3
1545118155.103455,3
1545118155.305538,3
1545118155.5084105,3
1545118155.7121997,3
1545118155.915487,3
1545118156.1188242,3
1545118156.321084,3
1545118156.5236607,3
1545118156.726099,3
1545118169.928636,3
1545118170.157103,3
1545118170.3601131,3
1545118170.5623307,3
1545118170.7645063,3
1545118170.9671745,3
1545118171.1693106,3
1545118171.3715606,3
1545118171.5739262,3
1545118171.775931,3
1545118171.9787047,3
1545118172.1809382,3
1545118172.3834312,3
1545118172.5857034,3
1545118172.7890055,3
1545118172.9918072,3
1545118173.1942418,3
1545118173.3967886,3
1545118173.5992048,3
1545118173.8015187,3
1545118174.4157553,3
1545118174.2126565,3
