time,status
1545187662.2528815,3
1545187662.4767847,3
1545187662.679178,3
1545187662.8819122,3
1545187663.8638046,3
1545187663.2890158,3
1545187722.6909509,3
1545187726.523339,3
1545187730.335073,3
1545187831.7433543,3
1545187835.3587093,3
1545187837.3652084,3
1545187839.1698158,3
1545187840.9765415,3
1545187842.98357,3
1545187844.7904797,3
1545187846.7945633,3
1545187848.5999897,3
1545187850.4043596,3
1545187864.4081123,3
1545187864.636925,3
1545187864.8388522,3
1545187865.4141207,3
1545187865.2430637,3
1545187882.6449246,3
1545187882.8805583,3
1545187883.8478017,3
1545187883.2892401,3
1545187883.492659,3
1545187883.695583,3
1545187883.8980737,3
1545187884.100583,3
1545187884.3029354,3
1545187896.504925,3
1545187896.7335627,3
1545187896.9388418,3
1545187897.1411886,3
1545187897.3429682,3
1545187897.5482657,3
1545187897.750133,3
1545187897.9530494,3
1545187898.1553204,3
1545187898.3581991,3
1545187898.561147,3
1545187898.7637281,3
1545187898.9658248,3
1545187899.1686661,3
1545187899.3713102,3
1545187899.574819,3
1545187899.7788925,3
1545187899.9812455,3
1545187900.183448,3
1545187900.3884645,3
1545187900.5949934,3
1545187900.7980318,3
1545187900.9999986,3
1545187901.2021832,3
1545187901.4044151,3
1545187901.6067936,3
1545187901.8095639,3
1545187902.1165347,3
1545187902.2135026,3
1545187902.4160168,3
1545187902.619147,3
1545187902.8214793,3
1545187903.2376652,3
1545187903.227638,3
1545187903.430834,3
1545187903.6330354,3
1545187920.3494399,3
1545187920.2695842,3
1545187920.4735851,3
1545187920.6759458,3
1545187920.8780723,3
1545187921.8002326,3
1545187921.2823126,3
1545187921.484732,3
1545187921.6868842,3
1545187921.8897958,3
1545187922.9430928,3
1545187922.2960176,3
1545187922.4999826,3
1545187922.702471,3
1545187922.9057014,3
1545187923.10743,3
1545187923.309579,3
1545187963.5119889,4
1545187983.1136389,3
1545187990.3227031,3
1545188059.9373605,4
1545188243.9434636,3
1545188244.1571684,3
1545188244.3629966,3
1545188244.5652199,3
1545188244.7681892,3
1545188244.9761655,3
1545188245.178857,3
1545188245.3855102,3
1545188245.590102,3
1545188245.7969856,3
1545188246.718947,3
1545188246.2035465,3
1545188246.4054546,3
1545188246.6090283,3
1545188246.810925,3
1545188247.1357145,3
1545188247.2161655,3
1545188247.4189162,3
1545188247.6215518,3
1545188247.8240883,3
1545188248.2649987,3
1545188248.228681,3
1545188248.4308908,3
1545188248.6334968,3
1545188248.8357701,3
1545188249.3829315,3
1545188249.2404451,3
1545188290.4432187,3
1545188290.6510155,3
1545188290.8534849,3
1545188291.5613775,3
1545188291.2592666,3
1545188291.4609613,3
1545188291.663401,3
1545188291.8659706,3
1545188292.687803,3
1545188292.2706506,3
1545188292.4730303,3
1545188292.6775908,3
1545188292.8800764,3
1545188293.8255122,3
1545188293.2847629,3
1545188293.4868414,3
1545188302.8897073,3
1545188303.122545,3
