time,name,x,y,z,a,b,c,w
1572229286.0199999809,SBOX,3.2232272624969482422,0.63698464632034301758,4.9574160575866699219,0.002715071430429816246,0.049132764339447021484,0.010869427584111690521,-0.99870955944061279297
1572229286.0260000229,SBOX,3.223125457763671875,0.63702911138534545898,4.9574937820434570313,0.0022674461361020803452,0.049252931028604507446,0.009153885766863822937,-0.99872106313705444336
1572229286.0339999199,SBOX,3.2232697010040283203,0.63698297739028930664,4.9574093818664550781,0.0028542352374643087387,0.048926889896392822266,0.010834875516593456268,-0.9987170100212097168
1572229286.0420000553,SBOX,3.22316741943359375,0.63700813055038452148,4.9574909210205078125,0.0023345772642642259598,0.049043893814086914063,0.0093761589378118515015,-0.99872744083404541016
1572229286.0529999733,SBOX,3.2230181694030761719,0.63706189393997192383,4.9576058387756347656,0.0015732137253507971764,0.04920675233006477356,0.0078338142484426498413,-0.99873751401901245117
1572229286.0599999428,SBOX,3.2231717109680175781,0.6370270848274230957,4.9574804306030273438,0.0022524816449731588364,0.048982273787260055542,0.0098724216222763061523,-0.99872535467147827148
1572229286.0669999123,SBOX,3.2230954170227050781,0.63704115152359008789,4.95754241943359375,0.0019077118486166000366,0.04913900420069694519,0.0087483283132314682007,-0.99873030185699462891
1572229286.0759999752,SBOX,3.2232224941253662109,0.63697630167007446289,4.9574403762817382813,0.0025051075499504804611,0.049054730683565139771,0.01048318762332201004,-0.99871575832366943359
1572229286.0840001106,SBOX,3.2231137752532958984,0.63701009750366210938,4.9575128555297851563,0.0021520918235182762146,0.049227528274059295654,0.0090643744915723800659,-0.99872255325317382813
1572229286.0929999352,SBOX,3.2232577800750732422,0.63698923587799072266,4.9574031829833984375,0.0027876803651452064514,0.048987828195095062256,0.010411697439849376678,-0.99872040748596191406
1572229286.1010000706,SBOX,3.2231409549713134766,0.63702046871185302734,4.9574790000915527344,0.0023044794797897338867,0.049175597727298736572,0.0090029556304216384888,-0.99872672557830810547
1572229286.1089999676,SBOX,3.2232794761657714844,0.63697868585586547852,4.9574074745178222656,0.0029455702751874923706,0.048977263271808624268,0.010694432072341442108,-0.99871671199798583984
