time,name,x,y,z,a,b,c,w
1583921855.6480000019,mark,1.5100971460342407227,1.5576734542846679688,-3.3529608249664306641,-0.00073706073453649878502,-0.0046956748701632022858,0.010590766556560993195,-0.99993234872817993164
1583921855.6480000019,sensor,-3.0840582847595214844,1.1451586484909057617,-3.6141762733459472656,0.0011433686595410108566,4.5064697928864916321e-07,-0.0015452036168426275253,-0.99999815225601196289
1583921855.6559998989,mark,1.5102560520172119141,1.5575313568115234375,-3.3530406951904296875,-0.00064190733246505260468,-0.0045186579227447509766,0.010296663269400596619,-0.99993622303009033203
1583921855.6559998989,sensor,-3.0840575695037841797,1.1451638936996459961,-3.6141717433929443359,0.0011295994045212864876,3.9858632590039633214e-06,-0.0015722371172159910202,-0.9999980926513671875
1583921855.6640000343,mark,1.5102100372314453125,1.5575766563415527344,-3.3530130386352539063,-0.00066999654518440365791,-0.0045864651910960674286,0.010478744283318519592,-0.99993401765823364258
1583921855.6640000343,sensor,-3.0840635299682617188,1.1451741456985473633,-3.6141695976257324219,0.0011189304059371352196,4.1246739783673547208e-06,-0.0016185712302103638649,-0.99999803304672241211
1583921855.6719999313,mark,1.5101387500762939453,1.557644963264465332,-3.3529706001281738281,-0.00071109476266428828239,-0.004680892452597618103,0.010710724629461765289,-0.99993109703063964844
1583921855.6719999313,sensor,-3.0840640068054199219,1.1451733112335205078,-3.6141617298126220703,0.0011149189667776226997,7.8907196439104154706e-06,-0.0016046063974499702454,-0.9999980926513671875
1583921855.6800000668,mark,1.5100781917572021484,1.5577007532119750977,-3.3529405593872070313,-0.00075358600588515400887,-0.0047434587031602859497,0.01080145128071308136,-0.99992984533309936523
1583921855.6800000668,sensor,-3.0840606689453125,1.1451698541641235352,-3.614166259765625,0.0011221262393519282341,4.4247408368391916156e-06,-0.0015968428924679756165,-0.9999980926513671875
1583921855.6889998913,mark,1.5100398063659667969,1.5577392578125,-3.3529114723205566406,-0.00076978025026619434357,-0.0048054400831460952759,0.010999083518981933594,-0.99992746114730834961
1583921855.6889998913,sensor,-3.0840609073638916016,1.1451637744903564453,-3.6141619682312011719,0.0011243282351642847061,6.8688773353642318398e-06,-0.0015839881962165236473,-0.9999980926513671875
1583921855.6970000267,mark,1.510184168815612793,1.5576108694076538086,-3.3529901504516601563,-0.00067898386623710393906,-0.0046528647653758525848,0.010805846191942691803,-0.99993026256561279297
1583921855.6970000267,sensor,-3.0840620994567871094,1.1451593637466430664,-3.6141607761383056641,0.0011278762249276041985,3.810295993389445357e-06,-0.0015830956399440765381,-0.9999980926513671875
1583921855.7049999237,mark,1.5103284120559692383,1.5574835538864135742,-3.3530690670013427734,-0.00058892462402582168579,-0.0044950093142688274384,0.010614907369017601013,-0.99993306398391723633
1583921855.7049999237,sensor,-3.0840680599212646484,1.1451545953750610352,-3.6141653060913085938,0.0011356951436027884483,-2.0446520920813782141e-06,-0.0016147575806826353073,-0.99999803304672241211
1583921855.7139999866,mark,1.51036834716796875,1.5574499368667602539,-3.3530914783477783203,-0.00056299153948202729225,-0.0044533545151352882385,0.010599812492728233337,-0.99993354082107543945
1583921855.7139999866,sensor,-3.0840680599212646484,1.1451526880264282227,-3.6141712665557861328,0.0011414228938519954681,-8.2910264609381556511e-06,-0.0016095497412607073784,-0.99999803304672241211
1583921855.7219998837,mark,1.5102684497833251953,1.55753326416015625,-3.3530347347259521484,-0.00063359964406117796898,-0.0045221545733511447906,0.010508961044251918793,-0.99993413686752319336
1583921855.7219998837,sensor,-3.0840687751770019531,1.1451677083969116211,-3.6141726970672607422,0.0011369624407961964607,-1.6190953829209320247e-05,-0.0015905790496617555618,-0.9999980926513671875
1583921855.7300000191,mark,1.5101715326309204102,1.557619929313659668,-3.3529837131500244141,-0.00069536478258669376373,-0.0046296389773488044739,0.010647482238709926605,-0.99993216991424560547
1583921855.7300000191,sensor,-3.0840651988983154297,1.1451773643493652344,-3.6141762733459472656,0.0011267280206084251404,-9.4723554866504855454e-06,-0.001623725169338285923,-0.99999803304672241211
1583921855.739000082,mark,1.5103757381439208984,1.5574322938919067383,-3.3530836105346679688,-0.00056365015916526317596,-0.0044069858267903327942,0.010286115109920501709,-0.99993669986724853516
1583921855.739000082,sensor,-3.0840690135955810547,1.1451866626739501953,-3.6141767501831054688,0.0011147665791213512421,-7.7731083365506492555e-06,-0.0016641219845041632652,-0.99999797344207763672
1583921855.746999979,mark,1.51030731201171875,1.5574966669082641602,-3.3530550003051757813,-0.0006168592371977865696,-0.0044765826314687728882,0.010361275635659694672,-0.99993562698364257813
1583921855.746999979,sensor,-3.0840656757354736328,1.1451743841171264648,-3.614166259765625,0.0011272672563791275024,-5.6416024563077371567e-06,-0.0016056846361607313156,-0.99999803304672241211
1583921855.7550001144,mark,1.51038360595703125,1.557433009147644043,-3.3531019687652587891,-0.00056802062317728996277,-0.004402030259370803833,0.010327972471714019775,-0.9999364018440246582
1583921855.7550001144,sensor,-3.084064483642578125,1.1451687812805175781,-3.6141676902770996094,0.0011306628584861755371,-2.8288432076806202531e-06,-0.0016080804634839296341,-0.99999803304672241211
1583921855.763999939,mark,1.5104610919952392578,1.557361602783203125,-3.3531436920166015625,-0.00051778589840978384018,-0.004322755616158246994,0.010209062136709690094,-0.99993807077407836914
1583921855.763999939,sensor,-3.0840592384338378906,1.1451631784439086914,-3.6141655445098876953,0.0011345222592353820801,1.6048489897002582438e-06,-0.0015488036442548036575,-0.99999815225601196289
1583921855.7720000744,mark,1.5103456974029541016,1.5574629306793212891,-3.3530855178833007813,-0.00059635617071762681007,-0.0044401097111403942108,0.010315527208149433136,-0.99993646144866943359
1583921855.7720000744,sensor,-3.0840578079223632813,1.1451586484909057617,-3.6141731739044189453,0.001145839691162109375,-5.4951715355855412781e-06,-0.0015154052525758743286,-0.99999815225601196289
1583921855.7799999714,mark,1.5102198123931884766,1.5575697422027587891,-3.3530244827270507813,-0.00069144828012213110924,-0.0045361663214862346649,0.010241367854177951813,-0.99993681907653808594
1583921855.7799999714,sensor,-3.0840642452239990234,1.1451607942581176758,-3.6141693592071533203,0.0011319030309095978737,-6.2446059700960176997e-07,-0.0015680497745051980019,-0.9999980926513671875
1583921855.7890000343,mark,1.5101268291473388672,1.5576511621475219727,-3.3529770374298095703,-0.00074512115679681301117,-0.0046246536076068878174,0.010322572663426399231,-0.99993556737899780273
1583921855.7890000343,sensor,-3.0840687751770019531,1.1451593637466430664,-3.6141626834869384766,0.0011228041257709264755,1.4744459519988595275e-07,-0.0015663447557017207146,-0.99999815225601196289
1583921855.7969999313,mark,1.5100685358047485352,1.5577086210250854492,-3.3529503345489501953,-0.00077646062709391117096,-0.0047037578187882900238,0.010536502115428447723,-0.99993288516998291016
1583921855.7969999313,sensor,-3.0840632915496826172,1.145171046257019043,-3.6141669750213623047,0.0011156892869621515274,-1.7288494973399792798e-06,-0.0015474271494895219803,-0.99999815225601196289
1583921855.8050000668,mark,1.5102069377899169922,1.5575898885726928711,-3.3530180454254150391,-0.00067240471253171563148,-0.0046021766029298305511,0.010619821026921272278,-0.9999325871467590332
1583921855.8050000668,sensor,-3.0840671062469482422,1.1451790332794189453,-3.6141638755798339844,0.0011065438156947493553,3.166169335599988699e-06,-0.0015887031331658363342,-0.9999980926513671875
1583921855.8139998913,mark,1.5103440284729003906,1.5574687719345092773,-3.3530812263488769531,-0.0005760194617323577404,-0.0044835759326815605164,0.010585089214146137238,-0.99993354082107543945
1583921855.8139998913,sensor,-3.0840594768524169922,1.1451834440231323242,-3.6141631603240966797,0.0010962671367451548576,1.2177657481515780091e-05,-0.0015820070402696728706,-0.9999980926513671875
