time,name,x,y,z,a,b,c,w
1583920752.9270000458,mark,1.510626673698425293,1.5572438240051269531,-3.3532514572143554688,-0.00039536523399874567986,-0.0042035635560750961304,0.010293315164744853973,-0.9999377131462097168
1583920752.9270000458,sensor,-1.5468841791152954102,1.1340423822402954102,-3.5588669776916503906,-0.00084701436571776866913,-0.00067519169533625245094,-2.6476022867427673191e-06,0.99999940395355224609
1583920752.9340000153,mark,1.5107873678207397461,1.5570930242538452148,-3.3533351421356201172,-0.00030258594779297709465,-0.0040231691673398017883,0.0099478522315621376038,-0.99994188547134399414
1583920752.9349999428,sensor,-1.5468763113021850586,1.1340236663818359375,-3.5588698387145996094,-0.00087043759413063526154,-0.00067990756360813975334,-0.00010551053128438070416,0.9999993443489074707
1583920752.9419999123,mark,1.5110296010971069336,1.5568794012069702148,-3.3534634113311767578,-0.00014608622586820274591,-0.0037834150716662406921,0.0096896942704916000366,-0.99994540214538574219
1583920752.9419999123,sensor,-1.5468738079071044922,1.1340155601501464844,-3.5588734149932861328,-0.00087892700685188174248,-0.00067356962244957685471,-0.00016429791867267340422,0.99999928474426269531
1583920752.9500000477,mark,1.5108305215835571289,1.5570558309555053711,-3.3533616065979003906,-0.00027472648071125149727,-0.0039855861105024814606,0.0099174594506621360779,-0.99994224309921264648
1583920752.9509999752,sensor,-1.5468667745590209961,1.1340192556381225586,-3.5588734149932861328,-0.0008758841431699693203,-0.00067243340890854597092,-0.00020170853531453758478,0.9999993443489074707
1583920752.9590001106,mark,1.5108327865600585938,1.557049870491027832,-3.353363037109375,-0.00028666792786680161953,-0.0039461888372898101807,0.0096844891086220741272,-0.9999446868896484375
1583920752.9590001106,sensor,-1.546863555908203125,1.1340183019638061523,-3.5588669776916503906,-0.00087171630002558231354,-0.00067800859687849879265,-0.00020127180323470383883,0.9999993443489074707
1583920752.9670000076,mark,1.5108073949813842773,1.5570760965347290039,-3.3533508777618408203,-0.00029773145797662436962,-0.0039808400906622409821,0.0097949197515845298767,-0.99994361400604248047
1583920752.9670000076,sensor,-1.5468655824661254883,1.1340219974517822266,-3.5588693618774414063,-0.00085539766587316989899,-0.00068186549469828605652,-0.00020610433421097695827,0.9999993443489074707
1583920752.9749999046,mark,1.5107783079147338867,1.5571007728576660156,-3.3533358573913574219,-0.00032479592482559382915,-0.0039843376725912094116,0.0096854204311966896057,-0.99994474649429321289
1583920752.9749999046,sensor,-1.5468703508377075195,1.1340295076370239258,-3.5588643550872802734,-0.00084665237227454781532,-0.00068273104261606931686,-0.00015921195154078304768,0.99999940395355224609
1583920752.9839999676,mark,1.5109016895294189453,1.5569930076599121094,-3.3533964157104492188,-0.0002385809639235958457,-0.0038650671485811471939,0.0095899449661374092102,-0.99994623661041259766
1583920752.9839999676,sensor,-1.5468776226043701172,1.1340276002883911133,-3.5588610172271728516,-0.00083860941231250762939,-0.00067707832204177975655,-0.000119960146548692137,0.99999940395355224609
1583920752.9960000515,mark,1.5109162330627441406,1.5569835901260375977,-3.3534038066864013672,-0.00022477163292933255434,-0.0038643521256744861603,0.0096610980108380317688,-0.99994558095932006836
1583920752.9960000515,sensor,-1.5468811988830566406,1.1340247392654418945,-3.558864593505859375,-0.00084726128261536359787,-0.00067032309016212821007,-0.00012390650226734578609,0.99999940395355224609
1583920753.0039999485,mark,1.5108432769775390625,1.5570563077926635742,-3.3533661365509033203,-0.00026002773665823042393,-0.0039785178378224372864,0.010033175349235534668,-0.99994134902954101563
1583920753.0039999485,sensor,-1.5468780994415283203,1.1340180635452270508,-3.5588622093200683594,-0.00084902800153940916061,-0.00067661312641575932503,-0.00014434567128773778677,0.99999940395355224609
1583920753.0130000114,mark,1.5108076333999633789,1.5570844411849975586,-3.3533496856689453125,-0.0002821199886966496706,-0.004022285807877779007,0.010132560506463050842,-0.9999402165412902832
1583920753.0130000114,sensor,-1.5468808412551879883,1.1340230703353881836,-3.5588593482971191406,-0.00083926523802801966667,-0.00068131816806271672249,-0.00010212892811978235841,0.99999940395355224609
1583920753.0209999084,mark,1.5106509923934936523,1.5572340488433837891,-3.3532741069793701172,-0.00036907164030708372593,-0.0042178439907729625702,0.010593445040285587311,-0.99993437528610229492
1583920753.0209999084,sensor,-1.5468827486038208008,1.134028315544128418,-3.5588610172271728516,-0.00084595137741416692734,-0.00068116176407784223557,-8.8016051449812948704e-05,0.99999940395355224609
1583920753.0290000439,mark,1.5106868743896484375,1.5572000741958618164,-3.3532907962799072266,-0.00034461557515896856785,-0.0041901268996298313141,0.010587191209197044373,-0.99993467330932617188
1583920753.0290000439,sensor,-1.546881556510925293,1.1340311765670776367,-3.5588631629943847656,-0.00084755400894209742546,-0.00068278645630925893784,-7.973867468535900116e-05,0.99999940395355224609
1583920753.0380001068,mark,1.5107463598251342773,1.5571534633636474609,-3.3533205986022949219,-0.00029606721363961696625,-0.0041678803972899913788,0.010737411677837371826,-0.99993330240249633789
1583920753.0380001068,sensor,-1.5468809604644775391,1.1340270042419433594,-3.5588648319244384766,-0.00085173558909446001053,-0.00068533117882907390594,-0.00011072886991314589977,0.99999940395355224609
1583920753.0460000038,mark,1.5107871294021606445,1.5571173429489135742,-3.3533477783203125,-0.00027306261472404003143,-0.0041163587011396884918,0.010616649873554706573,-0.99993485212326049805
1583920753.0460000038,sensor,-1.546879887580871582,1.1340225934982299805,-3.5588643550872802734,-0.00085710088023915886879,-0.00068020483013242483139,-0.00012498226715251803398,0.99999940395355224609
1583920753.0539999008,mark,1.5106331110000610352,1.5572470426559448242,-3.3532803058624267578,-0.0003997256280854344368,-0.0042026415467262268066,0.010340455919504165649,-0.99993729591369628906
1583920753.0550000668,sensor,-1.54688262939453125,1.1340291500091552734,-3.5588662624359130859,-0.00086102064233273267746,-0.00068175187334418296814,-0.00010883693903451785445,0.99999940395355224609
1583920753.0629999638,mark,1.5104835033416748047,1.5573766231536865234,-3.3532085418701171875,-0.00052212772425264120102,-0.0042905649170279502869,0.010125820524990558624,-0.99993908405303955078
1583920753.0629999638,sensor,-1.5468883514404296875,1.1340233087539672852,-3.5588653087615966797,-0.00086019682930782437325,-0.00067674875026568770409,-9.3336617283057421446e-05,0.99999940395355224609
1583920753.0710000992,mark,1.510512232780456543,1.5573486089706420898,-3.3532214164733886719,-0.00051049026660621166229,-0.0042334897443652153015,0.0099167507141828536987,-0.99994146823883056641
1583920753.0710000992,sensor,-1.5468906164169311523,1.13402557373046875,-3.5588710308074951172,-0.0008568422636017203331,-0.00068166037090122699738,-0.00010195558570558205247,0.99999940395355224609
1583920753.0789999962,mark,1.5104280710220336914,1.5574229955673217773,-3.3531744480133056641,-0.00056265061721205711365,-0.0043096230365335941315,0.0099529335275292396545,-0.99994081258773803711
1583920753.0789999962,sensor,-1.5468791723251342773,1.1340261697769165039,-3.5588705539703369141,-0.000848702271468937397,-0.00068752071820199489594,-0.00012940826127305626869,0.99999940395355224609
1583920753.0880000591,mark,1.5103499889373779297,1.5574972629547119141,-3.3531270027160644531,-0.00059584068367257714272,-0.0044088135473430156708,0.010207949206233024597,-0.99993777275085449219
1583920753.0880000591,sensor,-1.5468772649765014648,1.1340265274047851563,-3.5588738918304443359,-0.00084863649681210517883,-0.00068924069637432694435,-0.00011313235154375433922,0.99999940395355224609
1583920753.0959999561,mark,1.5104585886001586914,1.5573943853378295898,-3.3531785011291503906,-0.0005257520824670791626,-0.0042809573933482170105,0.0099659552797675132751,-0.99994069337844848633
1583920753.0959999561,sensor,-1.5468809604644775391,1.1340348720550537109,-3.5588691234588623047,-0.00084203633014112710953,-0.00069104245631024241447,-7.9645535151939839125e-05,0.99999940395355224609
1583920753.1050000191,mark,1.5105774402618408203,1.5572845935821533203,-3.3532364368438720703,-0.00044393390999175608158,-0.004155558999627828598,0.0098158651962876319885,-0.999942779541015625
1583920753.1050000191,sensor,-1.5468732118606567383,1.1340292692184448242,-3.5588603019714355469,-0.00084103189874440431595,-0.00069411640288308262825,-0.00011884958803420886397,0.99999940395355224609
1583920753.1129999161,mark,1.5107026100158691406,1.5571714639663696289,-3.3533034324645996094,-0.00036326417466625571251,-0.0040287901647388935089,0.0096575450152158737183,-0.99994492530822753906
1583920753.1129999161,sensor,-1.5468678474426269531,1.1340278387069702148,-3.5588593482971191406,-0.00084530323510989546776,-0.00069678202271461486816,-0.00015116909344214946032,0.99999940395355224609
1583920753.1210000515,mark,1.5107021331787109375,1.5571668148040771484,-3.3533003330230712891,-0.00036960706347599625587,-0.004025037866085767746,0.0096310470253229141235,-0.99994528293609619141
1583920753.1210000515,sensor,-1.5468703508377075195,1.1340317726135253906,-3.5588686466217041016,-0.00084764446364715695381,-0.00069432926829904317856,-0.00013750398647971451283,0.99999940395355224609
1583920753.1289999485,mark,1.5109336376190185547,1.5569589138031005859,-3.3534193038940429688,-0.00021968693181406706572,-0.0037963145878165960312,0.0093879010528326034546,-0.99994838237762451172
