time,name,x,y,z,a,b,c,w
1583920688.0050001144,mark,1.5129164457321166992,1.5570710897445678711,-3.3536150455474853516,-0.00046706755529157817364,-0.0018446008907631039619,0.0072921286337077617645,-0.99995797872543334961
1583920688.0050001144,sensor,-3.050945281982421875,1.1158993244171142578,-3.5488812923431396484,-0.0012414300581440329552,5.943983705947175622e-05,-0.0027320582885295152664,0.99999547004699707031
1583920688.0130000114,mark,1.5123752355575561523,1.5570658445358276367,-3.3535561561584472656,-0.00040726672159507870674,-0.0024042548611760139465,0.0080225123092532157898,-0.99995362758636474609
1583920688.0130000114,sensor,-3.0509467124938964844,1.1158939599990844727,-3.5488796234130859375,-0.0012387702008709311485,5.8236772019881755114e-05,-0.0027495773974806070328,0.99999547004699707031
1583920688.0199999809,mark,1.5117259025573730469,1.5572131872177124023,-3.353420257568359375,-0.00047675648238509893417,-0.0030529573559761047363,0.0087692057713866233826,-0.99994802474975585938
1583920688.0199999809,sensor,-3.0509488582611083984,1.1158918142318725586,-3.5488793849945068359,-0.0012284829281270503998,6.2711864302400499582e-05,-0.0027772665489464998245,0.99999541044235229492
1583920688.0290000439,mark,1.5113899707794189453,1.5571954250335693359,-3.3533930778503417969,-0.00044357503065839409828,-0.0033709409181028604507,0.0090174162760376930237,-0.99994748830795288086
1583920688.0290000439,sensor,-3.0509426593780517578,1.1158896684646606445,-3.5488748550415039063,-0.0012227375991642475128,5.4122636356623843312e-05,-0.0028232743497937917709,0.99999529123306274414
1583920688.0369999409,mark,1.5111625194549560547,1.5571837425231933594,-3.3533730506896972656,-0.00041986510041169822216,-0.0035939922090619802475,0.0092338584363460540771,-0.99994665384292602539
1583920688.0369999409,sensor,-3.0509505271911621094,1.1158965826034545898,-3.5488753318786621094,-0.0012202181387692689896,5.7326404203195124865e-05,-0.0027614631690084934235,0.99999547004699707031
1583920688.0450000763,mark,1.511149287223815918,1.5570504665374755859,-3.3534286022186279297,-0.0003098573652096092701,-0.0036030532792210578918,0.009200031869113445282,-0.99994832277297973633
