#,timestamp,tx,ty,tz,qx,qy,qz,qw
1544591663.96966,-6.182473596,6.7921984242,0,0,0,-0.5313912956,0.8471264905,
1544591664.52782,-6.0586203267,6.5380937681,0,0,0,-0.5246468139,0.8513199872,
1544591665.08053,-5.9392566614,6.290148733,0,0,0,-0.5187289139,0.8549387778,
1544591665.64098,-5.8115891898,6.0391315552,0,0,0,-0.5100300592,0.860156578,
1544591666.19336,-5.6765365138,5.793368217,0,0,0,-0.5066518678,0.8621507321,
1544591666.74495,-5.5346094752,5.5480282178,0,0,0,-0.5065859975,0.8621894381,
1544591667.30392,-5.3951385896,5.2960942635,0,0,0,-0.5062665863,0.862377031,
1544591667.85653,-5.2679129255,5.0556686624,0,0,0,-0.5087781079,0.8608976925,
1544591668.41568,-5.1222059034,4.8008946779,0,0,0,-0.5116543647,0.8591913705,
1544591668.96844,-4.9837058747,4.5592055195,0,0,0,-0.5128777732,0.8584616414,
1544591670.00031,-4.8593564632,4.3224896867,0,0,0,-0.5189098958,0.854828942,
1544591671.59078,-4.7908181199,4.1860202154,0,0,0,-0.6180181798,0.7861638057,
1544591671.91016,-4.7872154869,4.1813237319,0,0,0,-0.6986591767,0.715454649,
1544591672.22336,-4.7941399373,4.1664292725,0,0,0,-0.7691303611,0.6390919242,
1544591672.62257,-4.8217381577,4.0618627384,0,0,0,-0.8447158417,0.5352150472,
1544591673.02177,-4.9022681524,3.9437363905,0,0,0,-0.9052524944,0.4248740064,
1544591673.33503,-5.0246356182,3.8346883986,0,0,0,-0.944499746,0.3285121456,
1544591673.73429,-5.1893487376,3.7336840033,0,0,0,-0.9754359632,0.2202831851,
1544591674.28719,-5.4522059566,3.6383962859,0,0,0,-0.9911541004,0.1327160473,
1544591674.8396,-5.719791612,3.5763217483,0,0,0,-0.9963772488,0.0850433898,
1544591675.39271,-5.984741657,3.5350713449,0,0,0,-0.99721571,0.0745709571,
1544591675.95139,-6.2565759965,3.4933839035,0,0,0,-0.9973705891,0.0724700483,
1544591676.50423,-6.530575295,3.4443409681,0,0,0,-0.9969534224,0.0779991899,
1544591677.45615,-6.7913442952,3.3979688193,0,0,0,-0.9961256794,0.0879410646,
1544591678.80165,-6.9837485275,3.3548931979,0,0,0,-0.9774290438,0.2112639682,
1544591679.12048,-6.9798525798,3.3483549669,0,0,0,-0.9498431614,0.3127266677,
1544591679.67331,-6.9668361512,3.3472492205,0,0,0,-0.9083951335,0.4181127617,
1544591684.91217,-6.9753705302,3.3408797802,0,0,0,-0.8516635952,0.524088848,
1544591685.22725,-6.9656096039,3.3352767376,0,0,0,-0.7918660068,0.6106948724,
1544591685.61835,-6.9563275633,3.3340346974,0,0,0,-0.7112308176,0.7029585508,
1544591686.01761,-6.9398432528,3.2022997141,0,0,0,-0.6275973809,0.7785380706,
1544591686.33709,-6.8859919976,3.0584191191,0,0,0,-0.5450867568,0.8383796441,
1544591686.73167,-6.7804110689,2.8949938089,0,0,0,-0.4362313332,0.8998345537,
1544591687.12941,-6.645169532,2.7657951043,0,0,0,-0.3189040478,0.9477870058,
1544591687.52848,-6.4778251959,2.6673633101,0,0,0,-0.2147896582,0.9766603313,
1544591688.16132,-6.1770967428,2.5739817678,0,0,0,-0.1013049019,0.9948554251,
1544591688.79998,-5.8603092465,2.5351600618,0,0,0,-0.0578112806,0.9983275293,
1544591689.43264,-5.5493537603,2.4849861004,0,0,0,-0.0943203709,0.9955418965,
1544591690.0713,-5.2413372741,2.4090486476,0,0,0,-0.1462518061,0.9892473953,
1544591690.70366,-4.9284371149,2.3094526119,0,0,0,-0.1638583894,0.9864838712,
1544591691.41641,-4.5813856748,2.1961165106,0,0,0,-0.1730523867,0.9849126212,
1544591692.13466,-4.2381025587,2.0723918593,0,0,0,-0.1911247986,0.9815657448,
1544591692.92699,-3.881320581,1.9067874141,0,0,0,-0.2614401634,0.9652196853,
1544591693.55977,-3.6216162869,1.7177917772,0,0,0,-0.3562443731,0.9343928225,
1544591694.11855,-3.4288581682,1.5164443291,0,0,0,-0.4357191511,0.9000826748,
1544591694.6776,-3.2706001271,1.2799490135,0,0,0,-0.5084730929,0.861077879,
1544591695.23023,-3.1572145259,1.0292635372,0,0,0,-0.5621136364,0.8270600098,
1544591696.02246,-3.0782767431,0.7768772233,0,0,0,-0.6100056128,0.7923970926,
1544591697.05416,-3.0123564537,0.5329763523,0,0,0,-0.6221534661,0.7828953089,
1544591697.68698,-2.9784514876,0.4634733205,0,0,0,-0.5357883352,0.8443523316,
1544591698.00634,-2.9602999114,0.4610704503,0,0,0,-0.4432075014,0.8964190486,
1544591698.31946,-2.9495135323,0.4641365187,0,0,0,-0.3481061939,0.9374551071,
1544591698.63863,-2.9338636267,0.4678081077,0,0,0,-0.2448030966,0.9695728151,
1544591698.95823,-2.9163137201,0.4738421545,0,0,0,-0.1392007738,0.9902641792,
1544591699.3514,-2.9163951912,0.4873365099,0,0,0,-0.0288908025,0.9995825736,
1544591700.22958,-2.920421275,0.4942964035,0,0,0,0.0770302308,0.9970287576,
1544591707.4523,-2.631726233,0.5250180966,0,0,0,0.0124923577,0.9999219675,
1544591708.00503,-2.3512791705,0.5184710398,0,0,0,-0.0347832685,0.999394879,
1544591708.63751,-2.0385155124,0.4944352057,0,0,0,-0.0552244218,0.9984739672,
1544591709.27649,-1.7182206952,0.4569339539,0,0,0,-0.0604240514,0.9981727977,
1544591709.90876,-1.398027235,0.4316907574,0,0,0,-0.0444908233,0.9990097931,
1544591710.46162,-1.122078082,0.4253921144,0,0,0,-0.0027802278,0.9999961352,
1544591711.02044,-0.8437679295,0.4406343806,0,0,0,0.0583091812,0.9982985723,
1544591711.57321,-0.5756971937,0.4880883081,0,0,0,0.0967973559,0.9953041103,
1544591712.12588,-0.3059147123,0.5489956212,0,0,0,0.1309667465,0.9913867617,
1544591712.68475,-0.0420564373,0.6407055627,0,0,0,0.1667470678,0.9859997035,
1544591713.39752,0.2097548304,0.7371340221,0,0,0,0.1864847648,0.9824578528,
1544591714.4291,0.4463304083,0.8383745092,0,0,0,0.201991145,0.979387348,
1544591715.30142,0.5460624002,0.8796973402,0,0,0,0.08479067,0.9963987868,
1544591716.09524,0.5416829972,0.881542526,0,0,0,-0.0215038578,0.9997687653,
1544591719.66184,0.666502603,0.8533384291,0,0,0,-0.1400388277,0.9901460128,
1544591719.98136,0.8058863082,0.7886882959,0,0,0,-0.240945354,0.9705386836,
1544591720.37423,0.9665826604,0.6725446313,0,0,0,-0.3508438396,0.9364339807,
1544591720.93327,1.1504514488,0.4600386462,0,0,0,-0.4480238181,0.8940216208,
1544591721.48597,1.298782039,0.2293846824,0,0,0,-0.4864202438,0.8737249833,
1544591722.03872,1.4475986445,-0.0171246043,0,0,0,-0.4921828684,0.8704918288,
1544591722.59315,1.5986525818,-0.2578352692,0,0,0,-0.4643860642,0.8856328717,
1544591723.15038,1.7748381462,-0.4775756559,0,0,0,-0.3992331504,0.9168494378,
1544591723.78311,2.0037784094,-0.6749421462,0,0,0,-0.3102063501,0.9506692487,
1544591724.49534,2.3117615181,-0.8464647936,0,0,0,-0.2076940393,0.9781938387,
1544591725.13399,2.6082247845,-0.9367831466,0,0,0,-0.0996867781,0.9950188673,
1544591725.76699,2.9245310261,-0.9525004021,0,0,0,0.0147854336,0.9998906895,
1544591726.47919,3.1927855434,-0.9149590273,0,0,0,0.0860992644,0.9962865635,
1544591727.59072,3.4630240953,-0.8433255402,0,0,0,0.1504847369,0.9886123325,
1544591728.38917,3.539120538,-0.8239550667,0,0,0,0.0453877921,0.9989694431,
1544591728.78222,3.5412011327,-0.8260619731,0,0,0,-0.0582909487,0.998299637,
1544591729.65428,3.5458025006,-0.8305472029,0,0,0,-0.1597777707,0.9871530094,
1544591735.51985,3.5494565935,-0.8376129078,0,0,0,-0.2797887943,0.9600615765,
1544591735.91889,3.5418545424,-0.8412518343,0,0,0,-0.3856233429,0.9226562943,
1544591736.31216,3.5392280592,-0.8511071935,0,0,0,-0.493681969,0.8696425205,
1544591736.71119,3.5355124495,-0.8593361894,0,0,0,-0.5947934934,0.8038785357,
1544591737.1043,3.5310212245,-0.8681214796,0,0,0,-0.6876217659,0.7260690787,
1544591737.42378,3.525101043,-0.8764669117,0,0,0,-0.7578609996,0.6524160523,
1544591737.74297,3.5231943575,-0.8837153601,0,0,0,-0.8212584208,0.5705564007,
1544591738.13601,3.5208910849,-0.8821152274,0,0,0,-0.8841847451,0.4671373852,
1544591738.53527,3.5178365034,-0.8753469546,0,0,0,-0.9350807575,0.3544347289,
1544591738.85458,3.5122535124,-0.8718113341,0,0,0,-0.9658043894,0.2592718292,
1544591739.16786,3.4989796756,-0.8710291768,0,0,0,-0.9872946788,0.158900023,
1544591739.48737,3.4893407478,-0.8683525404,0,0,0,-0.9985107635,0.0545550655,
1544591739.80668,3.4885419117,-0.8661808459,0,0,0,0.9988406368,0.048139196,
1544591740.12013,3.4737332255,-0.8623035679,0,0,0,0.9884721199,0.1514029995,
1544591740.59913,3.4666326935,-0.8615949996,0,0,0,0.9675941943,0.2525103465,
1544591743.76822,3.4569787868,-0.8550708971,0,0,0,0.9331168097,0.3595733853,
1544591744.56024,3.4559021326,-0.8601583106,0,0,0,0.9690599136,0.2468256142,
1544591745.75173,3.4586166238,-0.8620520834,0,0,0,0.989528614,0.1443368357,
1544591746.22465,3.4500237241,-0.8532841146,0,0,0,0.968996457,0.2470746171,
1544591746.78352,3.4451965351,-0.8458431932,0,0,0,0.9392988709,0.3431000309,
1544591747.65565,3.4368898435,-0.8457557509,0,0,0,0.8970052179,0.4420199533,
1544591748.13469,3.4347338969,-0.840529714,0,0,0,0.8475183499,0.5307660941,
1544591748.92703,3.4392570437,-0.8177641506,0,0,0,0.7894630524,0.6137980848,
1544591749.55984,3.3964640938,-0.5228045303,0,0,0,0.7496533658,0.6618306665,
1544591750.11391,3.366976858,-0.24292048,0,0,0,0.7563551355,0.6541612256,
1544591750.66501,3.316737151,0.0310170387,0,0,0,0.7932570855,0.6088868502,
1544591751.22386,3.2259201315,0.2932361058,0,0,0,0.8333146823,0.5527989148,
1544591751.77675,3.0998112673,0.5423336953,0,0,0,0.8685292625,0.4956378921,
1544591752.33559,2.949734015,0.7736161147,0,0,0,0.8925455252,0.4509572989,
1544591752.88862,2.7697071029,0.9899533467,0,0,0,0.9115797273,0.4111233402,
1544591753.44099,2.5810690297,1.1930902251,0,0,0,0.9245202929,0.3811328219,
1544591754.00001,2.3743770305,1.3910753128,0,0,0,0.9318088125,0.3629494963,
1544591754.55325,2.1696104578,1.5767626713,0,0,0,0.9315725565,0.3635554592,
1544591755.10551,1.9661044428,1.7678369954,0,0,0,0.9291370081,0.3697356084,
1544591755.66456,1.7648417863,1.9599224271,0,0,0,0.9201738801,0.3915099365,
1544591756.2173,1.5776043991,2.1587317509,0,0,0,0.9084851253,0.4179171893,
1544591756.77608,1.406276067,2.3752041694,0,0,0,0.8973885313,0.4412412309,
1544591757.3289,1.2502428274,2.6006262236,0,0,0,0.8821517315,0.4709653093,
1544591757.8816,1.1048648499,2.8312113263,0,0,0,0.867299992,0.4977858212,
1544591758.4344,0.9746507693,3.0792157081,0,0,0,0.8540919498,0.5201220446,
1544591758.99303,0.8488000544,3.3287549141,0,0,0,0.8405017767,0.5418087885,
1544591759.54593,0.7391104754,3.5802585791,0,0,0,0.8343450936,0.5512424737,
1544591760.57945,0.6300389901,3.8314067078,0,0,0,0.8285125214,0.5599705366,
1544591761.68318,0.5421123039,4.0759284234,0,0,0,0.819009559,0.5737798726,
1544591762.39712,0.5415427361,4.077015351,0,0,0,0.8730885981,0.4875615857,
1544591763.74724,0.3761032186,4.2604643461,0,0,0,0.9183938562,0.3956674422,
1544591764.30575,0.1680238785,4.4593107596,0,0,0,0.9332760531,0.3591598652,
1544591764.93826,-0.0755945382,4.6643014179,0,0,0,0.9404029462,0.3400621984,
1544591765.57105,-0.3294954579,4.8591315301,0,0,0,0.9415988796,0.336736618,
1544591766.12977,-0.5499359807,5.0376181475,0,0,0,0.9390361365,0.3438184612,
1544591766.76253,-0.7860460568,5.2388030944,0,0,0,0.9317224114,0.3631712379,
1544591767.31518,-0.9847798969,5.4268970579,0,0,0,0.9236863418,0.3831495033,
1544591767.87409,-1.1891481234,5.6327333706,0,0,0,0.919546491,0.3929812347,
1544591768.42687,-1.3790142072,5.8284192386,0,0,0,0.9129102183,0.4081604259,
1544591768.98574,-1.5681180016,6.0410100122,0,0,0,0.9090375922,0.4167141179,
1544591769.53857,-1.7514253545,6.2483247432,0,0,0,0.9047120546,0.4260235889,
1544591770.0912,-1.9264688795,6.464639582,0,0,0,0.9018271618,0.4320969455,
1544591770.65149,-2.1057510845,6.6804055143,0,0,0,0.8994816392,0.4369585573,
1544591771.20309,-2.2713903272,6.8926359133,0,0,0,0.8964289212,0.4431875329,
1544591771.75566,-2.4366151606,7.1180308015,0,0,0,0.8939342975,0.4481980274,
1544591772.31472,-2.602491909,7.3425633399,0,0,0,0.8934211978,0.4492199498,
1544591772.86732,-2.7638621744,7.5636981893,0,0,0,0.8906617705,0.4546664829,
1544591773.81933,-2.919906657,7.7832176931,0,0,0,0.8896854097,0.4565740595,
1544591777.94646,-3.0816538282,7.9961250824,0,0,0,0.9270538704,0.374928155,
1544591778.57912,-3.3140081573,8.1689796829,0,0,0,0.9581662919,0.2862120841,
1544591779.21163,-3.6003311895,8.3128987123,0,0,0,0.9750965659,0.2217807188,
1544591779.85034,-3.8949569711,8.4386419412,0,0,0,0.9762935891,0.2164505206,
1544591780.48369,-4.1871372814,8.5673564057,0,0,0,0.9759024404,0.2182073024,
1544591781.19534,-4.5131778159,8.7131240535,0,0,0,0.971819457,0.2357264157,
1544591781.82805,-4.8083586199,8.8421691738,0,0,0,0.9797011199,0.2004637516,
1544591782.54052,-5.1459835613,8.9571559117,0,0,0,0.9880179819,0.154338807,
1544591783.25918,-5.4917122613,9.0565297202,0,0,0,0.9891162344,0.1471362459,
1544591783.97146,-5.8381035957,9.165253643,0,0,0,0.9755136723,0.2199387989,
1544591784.61021,-6.1170059894,9.315051064,0,0,0,0.9500447013,0.3121138663,
1544591785.16304,-6.3486021549,9.4752852913,0,0,0,0.9438224727,0.3304529315,
1544591785.71571,-6.5608144527,9.6453984674,0,0,0,0.9416947464,0.3364684304,
1544591786.26848,-6.7779755708,9.813389404,0,0,0,0.947888007,0.3186037134,
1544591786.90125,-7.0365869725,9.9896667236,0,0,0,0.9577535761,0.2875901381,
1544591787.53372,-7.3127394355,10.1420786996,0,0,0,0.967583141,0.2525526978,
1544591788.40598,-7.5918458162,10.2800905702,0,0,0,0.9722986223,0.2337421421,
1544591789.67724,-7.8747136395,10.4143107137,0,0,0,0.9674004438,0.2532516166,
1544591796.09526,-7.9244692293,10.4436351637,0,0,0,0.99087634,0.1347741771,
1544591796.48826,-7.926221353,10.4382321098,0,0,0,0.9999412618,0.010838491,
1544591796.80766,-7.9252226869,10.4295262242,0,0,0,-0.9954554958,0.0952279155,
1544591797.1212,-7.9329126705,10.4170830098,0,0,0,-0.9797531776,0.2002091681,
1544591797.44037,-7.9392899885,10.4086542553,0,0,0,-0.9526085195,0.304198962,
1544591797.83325,-7.9811489574,10.3652293924,0,0,0,-0.9069929052,0.4211459011,
1544591798.15262,-8.0267290337,10.2883192536,0,0,0,-0.8573234028,0.5147781882,
1544591798.55208,-8.0893666892,10.1365185197,0,0,0,-0.794048704,0.6078541402,
1544591798.94497,-8.1152863676,9.9591531841,0,0,0,-0.7198724132,0.6941064102,
1544591799.34419,-8.0942207204,9.7778906312,0,0,0,-0.6335829889,0.7736747354,
1544591799.81719,-8.0217029589,9.5628510761,0,0,0,-0.5382105023,0.8428104503,
1544591800.37591,-7.8764307823,9.3225335199,0,0,0,-0.4604065798,0.8877081622,
1544591800.92879,-7.7006375034,9.1017997358,0,0,0,-0.4319671973,0.9018893172,
1544591801.48765,-7.5248127827,8.8848489818,0,0,0,-0.4281398762,0.9037124799,
1544591802.04037,-7.3567995,8.6649295702,0,0,0,-0.4336208892,0.9010954025,
1544591802.59314,-7.1969534131,8.4515937004,0,0,0,-0.4539156227,0.891044672,
1544591803.15201,-7.0288617664,8.2194566902,0,0,0,-0.4619839645,0.8868882774,
1544591803.7048,-6.8870720814,7.9862366366,0,0,0,-0.4872696734,0.8732515476,
1544591804.2576,-6.7367663243,7.740617836,0,0,0,-0.476922819,0.8789451773,
1544591805.68832,-6.5855370323,7.5185158249,0,0,0,-0.5136255571,0.8580144446,
1544591806.24132,-6.4730363615,7.2775487176,0,0,0,-0.5238991202,0.851780319,
1544591806.79391,-6.3485958831,7.0203081667,0,0,0,-0.5241325013,0.8516367307,
1544591807.35316,-6.2205477041,6.7664195371,0,0,0,-0.5187920322,0.854900478,
1544591807.90763,-6.0910479716,6.521018442,0,0,0,-0.5156988863,0.8567698983,
1544591808.45849,-5.9548497521,6.2811979708,0,0,0,-0.5109332013,0.8596204185,
1544591809.01115,-5.8126418105,6.0385930823,0,0,0,-0.5095863214,0.8604195378,
1544591809.72984,-5.6808210075,5.7962124787,0,0,0,-0.5140367424,0.8577681665,
1544591810.68314,-5.5507967691,5.5438945203,0,0,0,-0.5205169753,0.853851321,
1544591811.23427,-5.4272525127,5.3027744775,0,0,0,-0.5228637229,0.8524162875,
1544591811.78729,-5.3034025785,5.0513280997,0,0,0,-0.5205081153,0.8538567221,
1544591812.34632,-5.1723135684,4.8036876056,0,0,0,-0.5127447541,0.8585410981,
1544591812.89885,-5.0305757243,4.5597576029,0,0,0,-0.4946809879,0.8690746344,
